CountryOfCitizenship,EstWorthPrev,FinalWorth,Gender,Industries,PersonName,Rank,Source
Russia,2360.579594,2360.58,M,Service,Dmitry Kamenshchik,1298,Airport
Germany,2358.371621,2358.372,M,Healthcare,Otto Philipp Braun,1299,Medical technology
Russia,2358.370987,2361.415,M,Metals & Mining,Oleg Deripaska,1297,"Aluminum, utilities"
China,2357.942758,2355.965,M,Healthcare,Dong Wei,1300,Pharmaceuticals
South Africa,2357.830996,2364.587,M,Media & Entertainment,Koos Bekker,1296,"Media, investments"
Hong Kong,2351.733507,2335.493,M,Real Estate,Jonathan Kwok,1308,Real Estate
Hong Kong,2351.720327,2335.48,M,Real Estate,Geoffrey Kwok,1309,Real estate
Spain,2349.218592,2348.807,M,Construction & Engineering,Florentino Perez,1304,Construction
United States,2348.4,2348.4,M,Real Estate,David Walentas,1305,Real estate
China,2347.730007,2365.311,M,Manufacturing,Wang Junshi & family,1295,Solar inverters
Germany,2339.777572,2259.742,M,Technology,Ralph Dommermuth,1343,Internet service provider
China,2338.841181,2321.476,M,Manufacturing,Zhang Jian,1316,"Electric bikes, scooters"
United States,2335.926639,2589.782,M,Media & Entertainment,David Baszucki,1190,Online games
Turkey,2330.933511,2303.468,F,Diversified,Filiz Sahenk,1324,Diversified
United States,2329.233604,2367.931,M,Manufacturing,Paul Lee,1294,Battery separators
Monaco,2326.9,2326.9,M,Fashion & Retail,David Nahmad,1314,Art collection
United States,2326.809367,2333.294,M,Healthcare,August Troendle,1312,Pharmaceutical services
South Africa,2326.402884,2315.272,M,Metals & Mining,Patrice Motsepe,1318,Mining
Hong Kong,2325.891754,2325.892,M,Fashion & Retail,Tang Yiu,1315,Fashion retail
Taiwan,2325.684466,2333.467,M,Technology,Morris Chang,1311,Semiconductors
China,2325.582156,2276.468,M,Technology,Steven Meng Yang & family,1333,Electronics
United States,2324.730523,2224.427,M,Healthcare,Hao Hong,1361,Pharmaceuticals
China,2324.099245,2351.45,M,Manufacturing,Chen Shibin,1302,Quartz products
Liechtenstein,2321.448406,2321.448,M,Healthcare,Christoph Zeller,1317,Dental materials
Switzerland,2318.404977,2344.734,F,Manufacturing,Miriam Baumann-Blocher,1307,Chemicals
Netherlands,2316.790255,2335.085,M,Finance & Investments,Hans Melchers,1310,"Chemicals, investments"
India,2315.17,2315.17,M,Energy,Arvind Tiku,1319,"Oil & gas, investments"
China,2312.953088,2304.829,M,Manufacturing,Zhu Gongshan & family,1323,Solar panel materials
United States,2308.74787,2272.013,M,Technology,Alexis Lê-Quôc,1335,Cloud computing
United States,2308.034211,2298.755,M,Finance & Investments,Thomas James,1327,Finance
Switzerland,2300.0,2300.0,M,Finance & Investments,Stephan Schmidheiny,1326,Investments
Canada,2298.035528,2305.67,M,Real Estate,Mitchell Goldhar,1322,Real estate
Germany,2297.25398,2297.254,M,Food & Beverage,Paul-Heinz Wesjohann & family,1328,Chicken processing
Germany,2291.685693,2314.476,F,Manufacturing,Julia Thiele-Schuerhoff,1320,"Brakes, investments"
China,2291.270694,2311.705,M,Technology,Li Zhongchu,1321,Software
Vietnam,2286.799589,2346.72,F,Diversified,Thi Phuong Thao Nguyen,1306,Airlines
United States,2279.145779,2279.146,M,Real Estate,Jeff Sutton,1332,Real estate
India,2277.922749,2245.461,M,Technology,K. Dinesh,1350,Software services
China,2277.760604,2302.789,M,Manufacturing,Xue Hua,1325,Agribusiness
United States,2274.501238,2274.501,M,Real Estate,Stefan Soloviev,1334,"Real estate, grains"
China,2271.04873,2269.412,M,Fashion & Retail,Mi Enhua,1337,Retail
China,2270.454166,2252.715,M,Manufacturing,Yang Weidong & family,1344,Chemicals
United States,2270.0,2270.0,M,Sports,Mark Davis,1336,Las Vegas Raiders
Guernsey,2269.078037,2260.218,M,Finance & Investments,Stephen Lansdown,1342,Financial services
Germany,2265.981547,2265.982,M,Fashion & Retail,Georg Haub,1339,Retail
Ireland,2263.0,2263.0,M,Finance & Investments,John Armitage,1340,Hedge funds
Germany,2252.241479,2266.13,F,Healthcare,Karin Sartorius-Herbst,1338,Biopharmaceuticals
Italy,2248.606122,2283.006,M,Automotive,Alberto Bombassei,1331,Automotive brakes
United States,2248.0,2248.0,M,Fashion & Retail,Tom Ford,1345,Fashion
United States,2247.421,2247.421,F,Food & Beverage,Alexandra Daitch,1346,Cargill
United States,2247.421,2247.421,F,Food & Beverage,Lucy Stitzer,1346,Cargill
United States,2247.421,2247.421,F,Food & Beverage,Sarah MacMillan,1346,Cargill
United States,2246.0,2246.0,M,Sports,Irving Grousbeck & family,1349,"Telecommunication, sports"
Taiwan,2245.130774,2245.131,M,Finance & Investments,T.Y. Tsai,1351,Finance
Canada,2243.0,2243.0,M,Technology,Alex Shevchenko,1352,Software
Canada,2243.0,2243.0,M,Technology,Max Lytvyn,1352,Software
Philippines,2238.005899,2225.755,M,Diversified,Henry Sy Jr,1359,Diversified 
United States,2236.924355,2260.511,M,Technology,Steven Sarowitz,1341,Payroll software
United States,2236.3,2236.3,M,Sports,David Blitzer,1355,Sports
Mexico,2231.942845,2232.497,M,Service,Fernando Chico Pardo,1356,Airport management
China,2231.089549,2231.09,M,Food & Beverage,Liang Yunchao,1357,Nutritional supplements
India,2229.7317,2202.262,M,Food & Beverage,R.G. Chandramogan,1367,Dairy
United States,2228.0945,2211.951,M,Food & Beverage,John Tyson & family,1364,Food processing
Hong Kong,2226.57289,2226.573,M,Manufacturing,Yeung Kin-man,1358,Electronics
United States,2224.977,2224.977,M,Fashion & Retail,James Jannard,1360,Sunglasses
United States,2222.0,2222.0,M,Finance & Investments,Jeffrey Gundlach,1362,Investments
India,2217.469073,2328.917,M,Technology,Sanjeev Bikhchandani,1313,Internet
Hong Kong,2217.44527,2283.162,M,Automotive,Huang Yi,1330,Car dealerships
Taiwan,2215.596528,2215.597,M,Manufacturing,Tseng Cheng,1363,Petrochemicals
Italy,2208.561791,2208.562,M,Food & Beverage,Augusto Perfetti,1365,Candy
Italy,2208.561791,2208.562,M,Food & Beverage,Giorgio Perfetti,1365,Candy
Germany,2207.165456,2241.313,F,Automotive,Maria-Elisabeth Schaeffler-Thumann,1354,Auto parts
United States,2206.36747,2196.375,M,Energy,Lee Bass,1371,"Oil, investments"
China,2204.840611,2168.734,M,Healthcare,Li Li,1387,Healthcare
Philippines,2200.576278,2187.954,M,Diversified,Hans Sy,1374,Diversified
Israel,2200.0,2200.0,M,Finance & Investments,Oren Zeev,1369,Investments
United States,2199.0712,2198.364,M,Finance & Investments,Noam Gottesman,1370,Hedge funds
Philippines,2197.669725,2186.062,M,Diversified,Herbert Sy,1376,Diversified
Israel,2193.274005,2187.309,M,Food & Beverage,David Wertheim,1375,Coca-Cola Israel
Germany,2191.473448,2191.473,M,Technology,Hans-Werner Hector,1372,SAP
Hong Kong,2191.0,2191.0,M,Logistics,Chow Shing Yuk,1373,logistics
United States,2184.816145,2165.035,M,Manufacturing,Frank Laukien,1388,Scientific equipment 
Canada,2184.0,2184.0,M,Manufacturing,Clayton Zekelman,1380,Steel
United States,2182.927302,2182.182,M,Technology,Reid Hoffman,1381,LinkedIn
Israel,2175.844263,2177.073,M,Real Estate,Adam Neumann,1382,WeWork 
India,2174.139284,2185.991,F,Healthcare,Kiran Mazumdar-Shaw,1377,Biopharmaceuticals
Singapore,2173.077296,2173.077,M,Finance & Investments,Liang Xinjun,1385,Investments
Israel,2170.0,2170.0,M,Technology,Shlomo Kramer,1386,"Software, investments"
China,2168.800275,2132.167,M,Manufacturing,Xicheng Wang & family,1401,Tires
United States,2167.78421,2108.937,M,Healthcare,Robert Duggan,1419,Pharmaceuticals
France,2163.681077,2175.668,M,Construction & Engineering,Martin Bouygues,1383,"Construction, media"
France,2163.681077,2175.668,M,Construction & Engineering,Olivier Bouygues,1383,"Construction, media"
Taiwan,2161.58432,2135.13,M,Technology,Bruce Cheng,1400,Electronics
Spain,2160.590159,2141.309,F,Food & Beverage,Sol Daurella,1395,Coca-Cola bottler
Hong Kong,2159.841323,2140.418,M,Real Estate,Adam Kwok,1396,Real estate
United States,2155.738233,2155.996,M,Finance & Investments,Howard Marks,1391,Private equity
United States,2155.14376,2139.554,M,Energy,Paul Foster,1398,Oil refining
Hong Kong,2153.363171,2153.363,F,Manufacturing,Lam Wai-ying,1392,Smartphone screens
China,2147.805045,2163.196,M,Healthcare,Hou Juncheng,1389,Cosmetics
United States,2144.80959,2147.369,M,Fashion & Retail,Timothy Boyle,1393,Columbia Sportswear
Japan,2143.995582,2185.329,M,Fashion & Retail,Masateru Uno & family,1378,drugstores
Ireland,2143.782694,2144.34,M,Finance & Investments,Dermot Desmond,1394,Finance
Lebanon,2139.8,2139.8,M,Real Estate,Bahaa Hariri,1397,"Real estate, investments"
United States,2139.5,2139.5,M,Technology,Leonid Radvinsky,1399,E-commerce
Taiwan,2138.061646,2130.427,M,Real Estate,Chao Teng-hsiung,1403,Real estate
Malaysia,2137.422414,2119.947,M,Gambling & Casinos,Lim Kok Thay,1411,Casinos 
India,2133.321008,2122.847,M,Food & Beverage,Anand Burman,1408,Consumer goods
United States,2131.605,2131.605,M,Energy,Gordon Getty,1402,Getty Oil
Hong Kong,2129.602302,2129.602,M,Fashion & Retail,Michael Ying,1404,Retail
Israel,2126.974802,2126.975,M,Automotive,Shmuel Harlap,1405,Automotive
Vietnam,2124.429665,2200.988,M,Manufacturing,Tran Dinh Long,1368,Steel
India,2124.327629,2124.328,F,Technology,Radha Vembu,1406,Business software
Italy,2120.031905,2120.032,M,Fashion & Retail,Domenico Dolce,1409,Luxury goods
Italy,2120.031905,2120.032,M,Fashion & Retail,Stefano Gabbana,1409,Luxury goods
United Kingdom,2118.45352,2117.039,M,Healthcare,Dennis Gillings,1413,Clinical trials
China,2116.859574,2119.899,M,Manufacturing,Li Weiguo,1412,Construction materials
Russia,2115.236663,2115.237,M,Energy,Albert Avdolyan,1414,"Oil, mining"
Bulgaria,2113.361572,2113.362,M,Diversified,Georgi Domuschiev,1416,"Animal health, investments"
Bulgaria,2113.361572,2113.362,M,Diversified,Kiril Domuschiev,1416,"Animal health, investments"
United States,2111.56418,2111.564,M,Finance & Investments,Thomas Steyer,1418,Hedge funds
Argentina,2110.821191,2107.272,M,Diversified,Eduardo Eurnekian,1421,"Airports, investments"
Taiwan,2110.777421,2100.247,M,Manufacturing,Wang Chou-hsiong,1423,Footwear
Indonesia,2108.336583,2097.479,M,Finance & Investments,Peter Sondakh,1426,Investments
Czech Republic,2104.236614,2123.588,M,Technology,Pavel Baudis,1407,Software
United States,2103.73652,2082.566,M,Technology,William Stone,1433,Software 
Australia,2102.658665,2108.33,M,Real Estate,Lang Walker,1420,Real estate
China,2102.377488,2097.621,F,Finance & Investments,Chen Jinxia,1425,Investments
Ireland,2100.829636,2072.914,M,Manufacturing,Eugene Murtagh,1438,Building materials
United States,2099.414,2099.414,M,Finance & Investments,T. Denny Sanford,1424,"Banking, credit cards"
United States,2097.0,2097.0,M,Finance & Investments,Marc Lasry,1427,Hedge funds
Russia,2096.0,2096.0,M,Technology,Eugene Kaspersky,1428,Software
United States,2092.459455,2092.459,F,Real Estate,Jane Goldman,1429,Real estate
Turkey,2090.811,2090.811,M,Diversified,Nihat Ozdemir,1430,Diversified 
Turkey,2090.811,2090.811,M,Diversified,Sezai Bacaksiz,1430,Diversified 
Brazil,2087.049364,2060.161,M,Energy,Rubens Ometto Silveira Mello,1443,"Sugar, ethanol"
Thailand,2081.826358,2082.146,M,Food & Beverage,Prayudh Mahagitsiri,1434,"Coffee, shipping"
Philippines,2080.35637,2087.351,M,Diversified,Andrew Tan,1432,Diversified
Ukraine,2080.0,2080.0,M,Metals & Mining,Victor Pinchuk,1435,"Steel pipes, diversified"
China,2079.835278,2157.244,M,Manufacturing,Chang Jianming & family,1390,Industrial equipment
United States,2078.45,2078.45,M,Food & Beverage,Daniel Lubetzky,1436,Snack bars
Cyprus,2077.630966,2071.473,M,Energy,Igor Makarov,1439,Investments
United States,2075.4618,2075.462,M,Technology,Ryan Smith,1437,Cloud computing
Canada,2074.850093,2069.096,M,Real Estate,Chulong Huang,1440,Real estate
Russia,2074.374251,2100.967,M,Finance & Investments,Alexander Mamut,1422,Investments
United States,2072.13344,2049.931,M,Technology,Alexander Karp,1450,Software firm
China,2067.581942,2026.508,M,Technology,Long Jiang,1467,Manufacturing
United States,2065.9624,2062.429,F,Finance & Investments,Jennifer Pritzker,1442,"Hotels, investments"
United States,2065.865083,2055.419,M,Technology,Anthony Wood,1445,Roku 
China,2060.827825,2114.236,M,Manufacturing,Liu Xiaodong,1415,Flavorings
Canada,2057.226059,2046.363,F,Manufacturing,Zhang Ning,1454,Chemicals
Brazil,2055.823112,2057.174,M,Finance & Investments,Julio Bozano,1444,Banking
Germany,2053.638209,2053.638,M,Fashion & Retail,Torsten Toeller,1446,Pet food
Japan,2053.028504,2053.029,M,Real Estate,Katsumi Tada,1447,real estate
China,2050.304873,2021.564,M,Manufacturing,Zhang Liguo,1470,skincare
Australia,2050.05395,2050.054,M,Real Estate,Bob Ell,1449,Real estate
United States,2048.0,2048.0,M,Real Estate,David Adelman,1453,"Real estate, asset management"
United States,2044.7083,2048.803,M,Technology,Kevin Systrom,1452,Instagram
United Kingdom,2043.249293,2043.249,M,Technology,Andrey Andreev,1456,Online dating
China,2041.306762,2014.197,M,Manufacturing,Wong Luen Hei,1479,Building materials
United Kingdom,2039.325747,2040.554,M,Finance & Investments,Michael Ashcroft,1458,Security
China,2037.117653,2043.673,M,Manufacturing,Li Liangbin,1455,Lithium
Philippines,2037.112934,2026.982,M,Diversified,Harley Sy,1466,Diversified 
China,2036.863172,2036.863,M,Fashion & Retail,Lai Shixian,1461,Sports apparel
China,2036.4046,2049.515,M,Service,Michael Minhong Yu,1451,Education
Germany,2035.972144,2038.202,M,Healthcare,Lutz Mario Helmig & family,1459,Hospitals
United States,2034.8,2034.8,M,Technology,Raj Sardana,1463,Technology services
Switzerland,2034.433855,2052.329,M,Healthcare,Beda Diethelm,1448,Hearing aids
China,2034.129101,2030.473,M,Automotive,Yintai Jiang & family,1465,Auto parts
China,2024.582751,2184.479,M,Technology,Chen Tianshi,1379,Semiconductors
United States,2024.0036,1994.333,M,Gambling & Casinos,William Boyd & family,1491,"Casinos, banking"
United States,2022.65,2022.65,M,Manufacturing,William Young,1468,Plastics
India,2022.637558,2022.638,M,Construction & Engineering,P.P. Reddy,1469,Infrastructure
South Korea,2022.05673,1987.294,M,Media & Entertainment,Bang Si-hyuk,1499,Entertainment 
United States,2021.72626,2019.055,F,Gambling & Casinos,Elaine Wynn,1472,"Casinos, hotels"
United States,2019.16699,2019.167,M,Telecom,R. Marcelo Claure,1471,Cell phone distribution
Sweden,2018.427748,2018.195,F,Diversified,Katarina Martinson,1474,Investments
Norway,2017.924028,2018.354,M,Fashion & Retail,Stein Erik Hagen,1473,Consumer goods
Malaysia,2016.288667,1990.202,M,Real Estate,Lee Yeow Seng,1494,"Palm oil, property"
Austria,2016.28176,2033.781,M,Construction & Engineering,Wolfgang Leitner,1464,Engineering
China,2016.246654,1973.184,M,Manufacturing,Zhang Wanzhen,1514,Electronics components
India,2015.970743,2036.216,M,Manufacturing,Narendrakumar Parekh,1462,Adhesives
United States,2015.958,2015.958,F,Service,Linda Pritzker,1475,"Hotels, investments"
United States,2015.2976,2015.298,M,Telecom,Craig McCaw,1476,Telecom
Russia,2015.257408,2015.257,M,Finance & Investments,Alexander Svetakov,1477,Real estate
India,2014.988213,2036.99,M,Manufacturing,Ajay Parekh,1460,Adhesives
Czech Republic,2009.343159,2009.343,M,Fashion & Retail,Ales Zavoral,1480,E-commerce
China,2008.957801,1984.394,M,Media & Entertainment,Ning Wang & family,1503,Toys
United States,2008.716075,2008.716,F,Real Estate,Amy Goldman Fowler,1481,Real estate
Russia,2007.582611,2007.785,M,Finance & Investments,Alexander Nesis,1482,"Metals, banking, fertilizers"
Australia,2006.782768,2006.627,F,Manufacturing,Fiona Geminder,1484,Manufacturing 
Hong Kong,2004.668587,1981.207,F,Manufacturing,Chu Lam Yiu,1506,Flavorings
China,2004.118051,2004.118,M,Food & Beverage,Sun Mengquan & family,1485,Edible oil
China,2003.305019,1960.19,M,Real Estate,Jinxing Qi,1524,Real estate
Spain,2003.139225,2003.139,F,Fashion & Retail,Hortensia Herrero,1487,Supermarkets
Germany,2002.337119,2062.885,F,Technology,Karin Schick,1441,Information technology
China,2002.250835,1997.611,M,Manufacturing,Yin Yee Lee,1489,Glass
Taiwan,2001.51318,2006.882,M,Diversified,Douglas Hsu,1483,Diversified
China,2000.0,2000.0,M,Technology,Liang Rubo,1488,TikTok
Philippines,1999.492717,1990.707,F,Diversified,Teresita Sy-Coson,1493,Diversified
Thailand,1998.503163,2040.921,M,Energy,Somphote Ahunai,1457,Renewable energy
Hong Kong,1997.696169,2003.849,M,Manufacturing,Wong Man Li,1486,Furniture
Finland,1991.644407,1991.644,M,Healthcare,Heikki Kyostila,1492,Dental products
United States,1991.62896,1971.497,M,Media & Entertainment,Brian Roberts,1515,Comcast
Romania,1990.150657,1990.151,M,Finance & Investments,Ion Tiriac,1495,"Banking, insurance"
Italy,1989.368039,1985.439,M,Fashion & Retail,Alberto Prada,1501,Luxury goods
Italy,1989.368039,1985.439,F,Fashion & Retail,Marina Prada,1501,Luxury goods
United States,1988.267,1988.267,M,Fashion & Retail,Stephen Butt & family,1496,Supermarkets
United States,1988.142,1988.142,M,Fashion & Retail,Howard Butt III & family,1497,Supermarkets
Czech Republic,1987.440087,1987.44,M,Manufacturing,Michal Strnad,1498,Defense Contracting
Germany,1985.48,1985.48,F,Fashion & Retail,Sylvia Stroeher,1500,Cosmetics
United States,1982.716075,1982.716,F,Real Estate,Diane Kemper,1504,Real estate
India,1980.87886,1981.559,M,Real Estate,Jitendra Virwani,1505,Real estate
Thailand,1980.004989,1977.299,M,Finance & Investments,Thaksin Shinawatra,1509,Investments
China,1979.63427,1979.634,M,Fashion & Retail,Wang Wenmo,1507,Sports apparel
United States,1979.0,1979.0,F,Healthcare,Amy Wyss,1508,Medical equipment
Taiwan,1977.299483,1976.824,F,Real Estate,Lin Chang Su-O,1511,Real estate
China,1976.871928,1953.607,M,Manufacturing,Deng Weiming & family,1528,Battery components
Italy,1976.813762,1976.814,F,Food & Beverage,Maria Franca Fissolo,1512,"Nutella, chocolates"
United Kingdom,1976.36394,1954.449,M,Metals & Mining,Alex Beard,1526,"Mining, commodities"
United States,1973.3,1973.3,M,Sports,Joe Lacob,1513,Golden State Warriors
Singapore,1968.14169,1967.449,M,Media & Entertainment,Gang Ye,1517,Gaming
India,1966.993858,1969.738,M,Real Estate,Mofatraj Munot,1516,Real estate
Romania,1966.358789,1954.318,M,Technology,Daniel Dines,1527,Software
United States,1965.501,1965.501,M,Food & Beverage,James Leprino,1519,Cheese
United States,1962.00211,1960.582,F,Food & Beverage,Charlotte Colket Weber,1523,Campbell Soup
China,1958.424159,2014.207,M,Technology,Chi Yufeng,1478,Software
Norway,1956.144315,1965.143,F,Diversified,Caroline Hagen Kjos,1520,Conglomerate
India,1955.449896,1997.545,M,Healthcare,Prem Kumar Arora,1490,Pharmaceuticals
Australia,1954.623757,1966.964,M,Fashion & Retail,Solomon Lew,1518,Retail
China,1952.92504,1961.443,M,Service,Zhang Bangxin,1522,Education
Germany,1952.907362,1938.108,M,Healthcare,Wilhelm Beier & family,1539,Pharmaceuticals
Thailand,1951.76,1951.76,M,Diversified,Somsri Lamsam,1529,Diversified
China,1951.132547,1939.861,M,Fashion & Retail,Xie Bingkun & family,1537,Pearlescent pigments
Canada,1950.9,1950.9,M,Sports,Larry Tanenbaum,1530,Sports
United States,1950.76425,1950.634,M,Finance & Investments,Richard Kayne,1531,Investments
Singapore,1949.910122,1944.303,M,Healthcare,Zhao Tao,1534,Pharmaceuticals
Hong Kong,1948.1,1948.1,M,Real Estate,David Fong,1532,Real estate
China,1943.926373,1925.428,M,Manufacturing,Zhang Jingzhang & family,1544,Precision machinery
China,1943.841847,1826.775,M,Manufacturing,Xu Shugen,1616,"Construction, mining machinery"
